date,price,open,high,low,vol,change
2016-06-30,1322.00 ,1319.40 ,1325.60 ,1318.40 ,0.08K,-0.50%
2016-06-29,1328.60 ,1328.60 ,1328.60 ,1328.60 ,176.82K,0.81%
2016-06-28,1317.90 ,1328.30 ,1329.50 ,1308.20 ,195.98K,-0.51%
2016-06-27,1324.70 ,1322.30 ,1340.00 ,1320.80 ,258.33K,0.17%
2016-06-24,1322.40 ,1254.30 ,1362.60 ,1252.80 ,574.24K,4.69%
2016-06-23,1263.10 ,1268.10 ,1274.90 ,1256.90 ,152.59K,-0.54%
2016-06-22,1270.00 ,1271.40 ,1273.50 ,1263.80 ,132.68K,-0.20%
2016-06-21,1272.50 ,1292.50 ,1297.40 ,1267.10 ,207.16K,-1.52%
2016-06-20,1292.10 ,1293.00 ,1296.80 ,1280.80 ,193.80K,-0.21%
2016-06-17,1294.80 ,1282.40 ,1302.70 ,1278.80 ,211.62K,-0.28%
2016-06-16,1298.40 ,1295.00 ,1318.90 ,1280.10 ,354.15K,0.78%
2016-06-15,1288.30 ,1288.10 ,1300.00 ,1281.30 ,199.45K,0.02%
2016-06-14,1288.10 ,1286.20 ,1293.00 ,1278.60 ,193.07K,0.09%
2016-06-13,1286.90 ,1278.30 ,1290.30 ,1275.20 ,202.81K,0.86%
2016-06-10,1275.90 ,1271.50 ,1280.90 ,1267.30 ,160.81K,0.25%
2016-06-09,1272.70 ,1264.60 ,1274.40 ,1259.40 ,153.26K,0.82%
2016-06-08,1262.30 ,1247.00 ,1267.20 ,1245.50 ,181.73K,1.23%
2016-06-07,1247.00 ,1248.00 ,1249.00 ,1236.90 ,120.51K,-0.03%
2016-06-06,1247.40 ,1245.50 ,1251.30 ,1242.10 ,162.94K,0.36%
2016-06-03,1242.90 ,1212.80 ,1247.40 ,1209.10 ,240.70K,2.50%
2016-06-02,1212.60 ,1215.90 ,1220.00 ,1212.00 ,112.60K,-0.17%
2016-06-01,1214.70 ,1217.90 ,1222.90 ,1208.20 ,159.62K,-0.23%
2016-05-31,1217.50 ,1215.10 ,1220.60 ,1201.50 ,236.15K,0.00%
2016-05-30,1217.50 ,1215.10 ,1220.60 ,1201.50 ,236.15K,0.07%
2016-05-27,1216.70 ,1222.30 ,1225.80 ,1209.00 ,200.00K,-0.39%
2016-05-26,1221.50 ,1222.00 ,1234.90 ,1219.90 ,2.96K,-0.30%
2016-05-25,1225.20 ,1228.60 ,1231.60 ,1219.20 ,1.51K,-0.45%
2016-05-24,1230.70 ,1250.80 ,1251.10 ,1228.00 ,1.31K,-1.80%
2016-05-23,1253.20 ,1252.90 ,1257.60 ,1246.00 ,0.66K,-0.10%
2016-05-20,1254.40 ,1258.50 ,1261.90 ,1251.90 ,0.94K,-0.14%
2016-05-19,1256.10 ,1261.50 ,1263.00 ,1246.00 ,1.53K,-1.54%
2016-05-18,1275.70 ,1282.90 ,1283.30 ,1257.40 ,0.50K,-0.20%
2016-05-17,1278.20 ,1276.80 ,1285.00 ,1271.50 ,0.28K,0.22%
2016-05-16,1275.40 ,1275.20 ,1290.30 ,1274.00 ,0.22K,0.13%
2016-05-13,1273.80 ,1267.40 ,1277.60 ,1266.80 ,0.31K,0.12%
2016-05-12,1272.30 ,1278.40 ,1283.00 ,1264.30 ,0.20K,-0.35%
2016-05-11,1276.80 ,1269.30 ,1281.20 ,1268.80 ,0.36K,0.85%
2016-05-10,1266.00 ,1267.10 ,1271.70 ,1261.20 ,0.08K,-0.14%
2016-05-09,1267.80 ,1288.40 ,1290.50 ,1265.00 ,0.22K,-2.11%
2016-05-06,1295.10 ,1280.70 ,1298.40 ,1280.30 ,0.23K,1.70%
2016-05-05,1273.50 ,1284.40 ,1288.50 ,1275.00 ,0.19K,-0.16%
2016-05-04,1275.60 ,1289.60 ,1292.00 ,1275.00 ,0.11K,-1.34%
2016-05-03,1292.90 ,1298.40 ,1303.00 ,1286.70 ,0.15K,-0.31%
2016-05-02,1296.90 ,1294.10 ,1305.20 ,1292.70 ,0.04K,0.42%
2016-04-29,1291.50 ,1278.20 ,1298.30 ,1278.20 ,0.03K,1.91%
2016-04-28,1267.30 ,1267.30 ,1267.30 ,1267.30 ,227.21K,1.35%
2016-04-27,1250.40 ,1245.70 ,1254.60 ,1240.70 ,171.51K,0.56%
2016-04-26,1243.40 ,1239.80 ,1246.50 ,1232.70 ,148.11K,0.26%
2016-04-25,1240.20 ,1234.50 ,1243.80 ,1231.30 ,120.77K,0.83%
2016-04-22,1230.00 ,1248.50 ,1254.20 ,1228.50 ,209.49K,-1.62%
2016-04-21,1250.30 ,1244.50 ,1272.40 ,1244.40 ,272.94K,-0.33%
2016-04-20,1254.40 ,1251.30 ,1259.80 ,1244.00 ,165.25K,0.01%
2016-04-19,1254.30 ,1233.90 ,1258.50 ,1229.00 ,217.39K,1.56%
2016-04-18,1235.00 ,1236.30 ,1243.30 ,1231.70 ,148.66K,0.03%
2016-04-15,1234.60 ,1228.50 ,1237.60 ,1226.80 ,121.27K,0.66%
2016-04-14,1226.50 ,1243.80 ,1245.90 ,1225.40 ,204.79K,-1.75%
2016-04-13,1248.30 ,1257.20 ,1258.70 ,1241.40 ,155.99K,-1.00%
2016-04-12,1260.90 ,1259.80 ,1264.70 ,1253.00 ,157.24K,0.23%
2016-04-11,1258.00 ,1241.80 ,1260.90 ,1241.60 ,160.93K,1.14%
2016-04-08,1243.80 ,1241.80 ,1244.60 ,1231.00 ,132.37K,0.51%
2016-04-07,1237.50 ,1224.00 ,1245.00 ,1224.00 ,189.41K,1.12%
2016-04-06,1223.80 ,1232.60 ,1233.80 ,1217.20 ,135.33K,-0.47%
2016-04-05,1229.60 ,1217.10 ,1238.80 ,1216.00 ,157.09K,0.84%
2016-04-04,1219.30 ,1223.00 ,1224.10 ,1215.70 ,91.06K,-0.34%
2016-04-01,1223.50 ,1234.10 ,1237.20 ,1210.30 ,196.90K,-0.98%
2016-03-31,1235.60 ,1227.00 ,1242.30 ,1225.10 ,120.32K,0.57%
2016-03-30,1228.60 ,1243.00 ,1246.80 ,1224.90 ,183.33K,-0.63%
2016-03-29,1236.40 ,1221.80 ,1243.70 ,1216.00 ,4.37K,1.28%
2016-03-28,1220.80 ,1216.50 ,1222.90 ,1207.20 ,1.62K,-0.11%
2016-03-24,1222.20 ,1221.60 ,1224.60 ,1212.20 ,1.67K,-0.20%
2016-03-23,1224.60 ,1249.10 ,1249.10 ,1216.20 ,2.16K,-1.97%
2016-03-22,1249.20 ,1244.60 ,1260.00 ,1244.20 ,1.06K,0.35%
2016-03-21,1244.80 ,1256.50 ,1257.30 ,1242.10 ,0.46K,-0.80%
2016-03-18,1254.80 ,1258.60 ,1267.40 ,1249.80 ,0.20K,-0.85%
2016-03-17,1265.50 ,1261.10 ,1272.00 ,1256.20 ,0.22K,2.86%
2016-03-16,1230.30 ,1234.00 ,1264.00 ,1228.00 ,0.21K,-0.10%
2016-03-15,1231.50 ,1236.10 ,1238.70 ,1226.80 ,0.20K,-1.13%
2016-03-14,1245.60 ,1251.00 ,1259.90 ,1232.80 ,0.23K,-1.14%
2016-03-11,1259.90 ,1271.10 ,1283.80 ,1250.20 ,0.20K,-1.05%
2016-03-10,1273.30 ,1250.60 ,1274.50 ,1240.10 ,0.25K,1.22%
2016-03-09,1257.90 ,1262.60 ,1263.10 ,1245.00 ,0.38K,-0.44%
2016-03-08,1263.40 ,1269.50 ,1279.20 ,1261.40 ,0.07K,-0.09%
2016-03-07,1264.50 ,1267.20 ,1270.00 ,1260.20 ,0.04K,-0.52%
2016-03-04,1271.10 ,1265.00 ,1279.60 ,1253.50 ,0.11K,0.99%
2016-03-03,1258.60 ,1243.80 ,1268.10 ,1243.20 ,0.04K,1.33%
2016-03-02,1242.10 ,1227.80 ,1241.10 ,1227.80 ,0.04K,0.89%
2016-03-01,1231.10 ,1245.30 ,1247.00 ,1229.70 ,0.04K,-0.29%
2016-02-29,1234.70 ,1220.20 ,1241.40 ,1220.20 ,0.05K,1.15%
2016-02-26,1220.70 ,1220.70 ,1220.70 ,1220.70 ,218.71K,-1.46%
2016-02-25,1238.80 ,1228.90 ,1244.40 ,1221.80 ,208.22K,-0.02%
2016-02-24,1239.10 ,1226.00 ,1254.30 ,1222.40 ,274.24K,1.35%
